1, .11
1, 0.1
1, .155
1, .186
1, .155
1, .153
1, .177
1, 0.189
1, .195
1, .216
1, .2
1, .224
1, .331
2, .165
2, .163
2, .164
2, .178
2, .133
2, .176
2, .187
2, .203
2, .207
2, .231
2, .206
2, .216
2, .145
2, .224
2, .271
3, .16
3, .186
3, .171
3, .171
3, .195
3, .175
3, .179
3, .172
3, .190
3, .179
3, .185
3, .187
3, .268
4, .155
4, .169
4, .167
4, .178
4, .184
4, .200
4, .188
4, .196
4, .180
4, .220
4, .224
4, .221
4, .284
5, .167
5, .123
5, .163
5, .158
5, .161
5, .180
5, .15
5, .178
5, .16
5, .197
5, .172
5, .206
5, .261
6, .168
6, .146
6, .144
6, .156
6, .147
6, .168
6, .208
6, .191
6, .198
6, .200
6, .231
6, .224
6, .277
7, .21
7, .166
7, .183
7, .96
7, .141
7, .123
7, .136
7, .139
7, .140
7, .136
7, .149
7, .146
7, .188
8, .200
8, .186
8, .202
8, .218
8, .227
8, .230
8, .229
8, .227
8, .237
8, .246
8, .232
8, .237
8, .303
9, .150
9, .149
9, .150
9, .130
9, .147
9, .159
9, .140
9, .153
9, .150
9, .158
9, .161
9, .109
9, .219
10, .149
10, .142
10, .137
10, .145
10, .147
10, .150
10, .143
10, .134
10, .140
10, .138
10, .142
10, .153
10, .178
